Coriell sample ID, family pedID, individual pedID, father pedID, mother pedID, sex, individual LSID, sample LSID
NA18503,5,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR005.01:1,urn:LSID:dcc.hapmap.org:Sample:NA18503:1
NA18505,5,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR005.02:1,urn:LSID:dcc.hapmap.org:Sample:NA18505:1
NA18504,5,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR005.03:1,urn:LSID:dcc.hapmap.org:Sample:NA18504:1
NA18506,9,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR009.01:1,urn:LSID:dcc.hapmap.org:Sample:NA18506:1
NA18508,9,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR009.02:1,urn:LSID:dcc.hapmap.org:Sample:NA18508:1
NA18507,9,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR009.03:1,urn:LSID:dcc.hapmap.org:Sample:NA18507:1
NA18860,12,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR012.01:1,urn:LSID:dcc.hapmap.org:Sample:NA18860:1
NA18858,12,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR012.02:1,urn:LSID:dcc.hapmap.org:Sample:NA18858:1
NA18859,12,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR012.03:1,urn:LSID:dcc.hapmap.org:Sample:NA18859:1
NA18515,13,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR013.01:1,urn:LSID:dcc.hapmap.org:Sample:NA18515:1
NA18517,13,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR013.02:1,urn:LSID:dcc.hapmap.org:Sample:NA18517:1
NA18516,13,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR013.03:1,urn:LSID:dcc.hapmap.org:Sample:NA18516:1
NA18521,16,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR016.01:1,urn:LSID:dcc.hapmap.org:Sample:NA18521:1
NA18523,16,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR016.02:1,urn:LSID:dcc.hapmap.org:Sample:NA18523:1
NA18522,16,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR016.03:1,urn:LSID:dcc.hapmap.org:Sample:NA18522:1
NA18872,17,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR017.01:1,urn:LSID:dcc.hapmap.org:Sample:NA18872:1
NA18870,17,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR017.02:1,urn:LSID:dcc.hapmap.org:Sample:NA18870:1
NA18871,17,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR017.03:1,urn:LSID:dcc.hapmap.org:Sample:NA18871:1
NA18854,18,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR018.01:1,urn:LSID:dcc.hapmap.org:Sample:NA18854:1
NA18852,18,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR018.02:1,urn:LSID:dcc.hapmap.org:Sample:NA18852:1
NA18853,18,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR018.03:1,urn:LSID:dcc.hapmap.org:Sample:NA18853:1
NA18857,23,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR023.01:1,urn:LSID:dcc.hapmap.org:Sample:NA18857:1
NA18855,23,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR023.02:1,urn:LSID:dcc.hapmap.org:Sample:NA18855:1
NA18856,23,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR023.03:1,urn:LSID:dcc.hapmap.org:Sample:NA18856:1
NA18863,24,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR024.01:1,urn:LSID:dcc.hapmap.org:Sample:NA18863:1
NA18861,24,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR024.02:1,urn:LSID:dcc.hapmap.org:Sample:NA18861:1
NA18862,24,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR024.03:1,urn:LSID:dcc.hapmap.org:Sample:NA18862:1
NA18914,28,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR028.01:1,urn:LSID:dcc.hapmap.org:Sample:NA18914:1
NA18912,28,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR028.02:1,urn:LSID:dcc.hapmap.org:Sample:NA18912:1
NA18913,28,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR028.03:1,urn:LSID:dcc.hapmap.org:Sample:NA18913:1
NA19094,40,1,3,2,2,urn:LSID:dcc.hapmap.org:Individual:YOR040.01:1,urn:LSID:dcc.hapmap.org:Sample:NA19094:1
NA19093,40,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR040.02:1,urn:LSID:dcc.hapmap.org:Sample:NA19093:1
NA19092,40,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR040.03:1,urn:LSID:dcc.hapmap.org:Sample:NA19092:1
NA19103,42,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR042.01:1,urn:LSID:dcc.hapmap.org:Sample:NA19103:1
NA19102,42,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR042.02:1,urn:LSID:dcc.hapmap.org:Sample:NA19102:1
NA19101,42,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR042.03:1,urn:LSID:dcc.hapmap.org:Sample:NA19101:1
NA19139,43,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR043.01:1,urn:LSID:dcc.hapmap.org:Sample:NA19139:1
NA19137,43,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR043.02:1,urn:LSID:dcc.hapmap.org:Sample:NA19137:1
NA19138,43,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR043.03:1,urn:LSID:dcc.hapmap.org:Sample:NA19138:1
NA19202,45,1,3,2,2,urn:LSID:dcc.hapmap.org:Individual:YOR045.01:1,urn:LSID:dcc.hapmap.org:Sample:NA19202:1
NA19201,45,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR045.02:1,urn:LSID:dcc.hapmap.org:Sample:NA19201:1
NA19200,45,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR045.03:1,urn:LSID:dcc.hapmap.org:Sample:NA19200:1
NA19173,47,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR047.01:1,urn:LSID:dcc.hapmap.org:Sample:NA19173:1
NA19172,47,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR047.02:1,urn:LSID:dcc.hapmap.org:Sample:NA19172:1
NA19171,47,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR047.03:1,urn:LSID:dcc.hapmap.org:Sample:NA19171:1
NA19205,48,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR048.01:1,urn:LSID:dcc.hapmap.org:Sample:NA19205:1
NA19204,48,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR048.02:1,urn:LSID:dcc.hapmap.org:Sample:NA19204:1
NA19203,48,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR048.03:1,urn:LSID:dcc.hapmap.org:Sample:NA19203:1
NA19211,50,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR050.01:1,urn:LSID:dcc.hapmap.org:Sample:NA19211:1
NA19209,50,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR050.02:1,urn:LSID:dcc.hapmap.org:Sample:NA19209:1
NA19210,50,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR050.03:1,urn:LSID:dcc.hapmap.org:Sample:NA19210:1
NA19208,51,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR051.01:1,urn:LSID:dcc.hapmap.org:Sample:NA19208:1
NA19206,51,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR051.02:1,urn:LSID:dcc.hapmap.org:Sample:NA19206:1
NA19207,51,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR051.03:1,urn:LSID:dcc.hapmap.org:Sample:NA19207:1
NA19161,56,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR056.01:1,urn:LSID:dcc.hapmap.org:Sample:NA19161:1
NA19159,56,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR056.02:1,urn:LSID:dcc.hapmap.org:Sample:NA19159:1
NA19160,56,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR056.03:1,urn:LSID:dcc.hapmap.org:Sample:NA19160:1
NA19221,58,1,3,2,2,urn:LSID:dcc.hapmap.org:Individual:YOR058.01:1,urn:LSID:dcc.hapmap.org:Sample:NA19221:1
NA19222,58,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR058.02:1,urn:LSID:dcc.hapmap.org:Sample:NA19222:1
NA19223,58,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR058.03:1,urn:LSID:dcc.hapmap.org:Sample:NA19223:1
NA19120,60,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR060.01:1,urn:LSID:dcc.hapmap.org:Sample:NA19120:1
NA19116,60,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR060.02:1,urn:LSID:dcc.hapmap.org:Sample:NA19116:1
NA19119,60,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR060.03:1,urn:LSID:dcc.hapmap.org:Sample:NA19119:1
NA19142,71,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR071.01:1,urn:LSID:dcc.hapmap.org:Sample:NA19142:1
NA19140,71,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR071.02:1,urn:LSID:dcc.hapmap.org:Sample:NA19140:1
NA19141,71,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR071.03:1,urn:LSID:dcc.hapmap.org:Sample:NA19141:1
NA19154,72,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR072.01:1,urn:LSID:dcc.hapmap.org:Sample:NA19154:1
NA19152,72,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR072.02:1,urn:LSID:dcc.hapmap.org:Sample:NA19152:1
NA19153,72,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR072.03:1,urn:LSID:dcc.hapmap.org:Sample:NA19153:1
NA19145,74,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR074.01:1,urn:LSID:dcc.hapmap.org:Sample:NA19145:1
NA19143,74,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR074.02:1,urn:LSID:dcc.hapmap.org:Sample:NA19143:1
NA19144,74,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR074.03:1,urn:LSID:dcc.hapmap.org:Sample:NA19144:1
NA19129,77,1,3,2,2,urn:LSID:dcc.hapmap.org:Individual:YOR077.01:1,urn:LSID:dcc.hapmap.org:Sample:NA19129:1
NA19127,77,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR077.02:1,urn:LSID:dcc.hapmap.org:Sample:NA19127:1
NA19128,77,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR077.03:1,urn:LSID:dcc.hapmap.org:Sample:NA19128:1
NA19132,101,1,3,2,2,urn:LSID:dcc.hapmap.org:Individual:YOR101.01:1,urn:LSID:dcc.hapmap.org:Sample:NA19132:1
NA19131,101,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR101.02:1,urn:LSID:dcc.hapmap.org:Sample:NA19131:1
NA19130,101,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR101.03:1,urn:LSID:dcc.hapmap.org:Sample:NA19130:1
NA19100,105,1,3,2,2,urn:LSID:dcc.hapmap.org:Individual:YOR105.01:1,urn:LSID:dcc.hapmap.org:Sample:NA19100:1
NA19099,105,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR105.02:1,urn:LSID:dcc.hapmap.org:Sample:NA19099:1
NA19098,105,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR105.03:1,urn:LSID:dcc.hapmap.org:Sample:NA19098:1
NA19194,112,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR112.01:1,urn:LSID:dcc.hapmap.org:Sample:NA19194:1
NA19193,112,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR112.02:1,urn:LSID:dcc.hapmap.org:Sample:NA19193:1
NA19192,112,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR112.03:1,urn:LSID:dcc.hapmap.org:Sample:NA19192:1
NA19240,117,1,3,2,2,urn:LSID:dcc.hapmap.org:Individual:YOR117.01:1,urn:LSID:dcc.hapmap.org:Sample:NA19240:1
NA19238,117,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR117.02:1,urn:LSID:dcc.hapmap.org:Sample:NA19238:1
NA19239,117,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR117.03:1,urn:LSID:dcc.hapmap.org:Sample:NA19239:1
NA18526,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18526:1,urn:LSID:dcc.hapmap.org:Sample:NA18526:1
NA18524,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18524:1,urn:LSID:dcc.hapmap.org:Sample:NA18524:1
NA18529,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18529:1,urn:LSID:dcc.hapmap.org:Sample:NA18529:1
